Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
ABDICATIONS,56,0,0,0,0,0,2009,0,0,0,0,0,0,0,4,12of12inf
ABDOMEN,57,2969,1.20E-07,8.36E-08,3.65E-06,1683,0,0,0,0,0,0,0,0,3,12of12inf
ABDOMENS,58,9,3.64E-10,1.22E-10,5.72E-08,8,0,0,0,0,0,0,0,0,3,12of12inf
ABDOMINAL,59,14104,5.71E-07,3.80E-07,9.67E-06,5618,0,0,0,0,0,0,0,0,4,12of12inf
ABDOMINALS,60,23,9.31E-10,2.13E-09,5.25E-07,23,0,0,0,0,0,0,0,0,4,12of12inf
ABDUCT,61,5,2.02E-10,8.07E-11,6.31E-08,4,0,0,0,0,0,0,0,0,2,12of12inf
ABDUCTED,62,143,5.79E-09,1.22E-08,2.19E-06,87,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTING,63,4,1.62E-10,8.14E-11,4.90E-08,4,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTION,64,216,8.75E-09,5.83E-09,1.09E-06,128,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTIONS,65,99,4.01E-09,4.90E-09,8.14E-07,57,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTOR,66,9,3.64E-10,8.69E-11,6.02E-08,3,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTORS,67,6,2.43E-10,1.39E-10,7.02E-08,6,0,0,0,0,0,0,0,0,3,12of12inf
ABDUCTS,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABEAM,69,61,2.47E-09,2.65E-09,6.18E-07,38,0,0,0,0,0,0,0,0,2,12of12inf
ABED,70,104,4.21E-09,6.55E-09,1.98E-06,45,0,0,0,0,0,0,0,0,2,12of12inf
ABERRANT,71,2215,8.97E-08,4.38E-08,1.85E-06,1503,2009,0,0,0,0,0,0,0,3,12of12inf
ABERRATION,72,1131,4.58E-08,4.44E-08,3.60E-06,792,2009,0,0,0,0,0,0,0,4,12of12inf
ABERRATIONAL,73,103,4.17E-09,2.96E-09,5.24E-07,67,2009,0,0,0,0,0,0,0,5,12of12inf
ABERRATIONS,74,2060,8.34E-08,7.38E-08,3.25E-06,1431,2009,0,0,0,0,0,0,0,4,12of12inf
ABET,75,1600,6.48E-08,3.94E-08,2.03E-06,1050,0,0,0,0,0,0,0,0,2,12of12inf
ABETS,76,212,8.59E-09,5.77E-09,6.59E-07,163,0,0,0,0,0,0,0,0,2,12of12inf
ABETTED,77,17612,7.13E-07,6.24E-07,1.17E-05,9343,0,0,0,0,0,0,0,0,3,12of12inf
ABETTER,78,33,1.34E-09,2.43E-09,6.78E-07,25,0,0,0,0,0,0,0,0,3,12of12inf
ABETTERS,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABETTING,80,24716,1.00E-06,8.77E-07,1.81E-05,11309,2009,0,0,0,0,0,0,0,3,12of12inf
ABETTOR,81,181,7.33E-09,8.17E-09,1.33E-06,128,0,0,0,0,0,0,0,0,3,12of12inf
ABETTORS,82,101,4.09E-09,5.00E-09,9.41E-07,66,0,0,0,0,0,0,0,0,3,12of12inf
ABEYANCE,83,17641,7.14E-07,4.29E-07,8.94E-06,7405,0,0,2009,0,0,0,0,0,3,12of12inf
ABEYANCES,84,20,8.10E-10,7.67E-10,2.70E-07,19,0,0,2009,0,0,0,0,0,4,12of12inf
ABHOR,85,12,4.86E-10,3.45E-10,1.34E-07,12,0,0,0,0,0,0,0,0,2,12of12inf
ABHORRED,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABHORRENCE,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABHORRENCES,88,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABHORRENT,89,51,2.07E-09,1.65E-09,4.43E-07,35,0,0,0,0,0,0,0,0,3,12of12inf
ABHORRENTLY,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABHORRING,91,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABHORS,92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABIDANCE,93,127,5.14E-09,3.66E-09,5.95E-07,108,0,0,0,0,0,0,0,0,3,12of12inf
ABIDANCES,94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABIDE,95,82305,3.33E-06,2.05E-06,1.62E-05,49557,0,0,0,0,0,0,2009,0,2,12of12inf
ABIDED,96,759,3.07E-08,1.87E-08,1.31E-06,530,0,0,0,0,0,0,0,0,3,12of12inf
ABIDES,97,1190,4.82E-08,2.75E-08,1.74E-06,933,0,0,0,0,0,0,0,0,2,12of12inf
ABIDING,98,3530,1.43E-07,1.11E-07,3.75E-06,2800,0,0,0,0,0,0,2009,0,3,12of12inf
ABIDINGLY,99,1,4.05E-11,2.23E-11,2.44E-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABILITIES,100,102728,4.16E-06,3.76E-06,2.37E-05,75608,0,0,0,0,0,0,0,0,4,12of12inf
ABILITY,101,14374235,0.000582124,0.000575061,0.000497193,1028993,0,0,0,0,0,0,0,0,4,12of12inf
ABJECT,102,28,1.13E-09,6.52E-10,1.82E-07,24,0,0,0,0,0,0,0,0,2,12of12inf
ABJECTION,103,7,2.83E-10,1.55E-10,8.05E-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTIONS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTLY,105,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTNESS,106,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABJECTNESSES,107,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATION,108,3,1.21E-10,2.07E-10,1.73E-07,2,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATIONS,109,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABJURATORY,110,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12of12inf
ABJURE,111,3,1.21E-10,2.18E-11,2.38E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
