ticker_yf,error,nombre_largo,pais_yf,sector_yf,industria_yf,market_cap,PE_ratio,ROA,ROE,deuda_equity,deuda_total,ingresos,ebitda,margen_beneficio,moneda,ESG_score,ESG_env,ESG_soc,ESG_gov,ESG_percentil,ESG_categoria,controversias,id_empresa,nombre,ticker_wiki,pais,sector_icb,supersector,sede
UMG.AS,,Universal Music Group N.V.,Netherlands,Communication Services,Entertainment,37486297088.0,24.626507,0.07674,0.33776,74.584,3407000064.0,12506999808.0,2243000064.0,0.12257,EUR,,,,,,,,E021,Universal Music Group,UMG,Netherlands,Media,Communication Services,Hilversum
KPN.AS,,Koninklijke KPN N.V.,Netherlands,Communication Services,Telecom Services,17436243968.0,22.004763,0.06868,0.23339,189.568,7104999936.0,5825999872.0,2388000000.0,0.15191,EUR,,,,,,,,E022,KPN,KPN,Netherlands,Telecommunications,Communication Services,Rotterdam
BT.A.L,,,,,,,,,,,,,,,,,,,,,,,E023,BT Group,BT.A,United Kingdom,Telecommunications,Communication Services,London
VIV.PA,,Vivendi SE,France,Communication Services,Electronic Gaming & Multimedia,2337019392.0,117.3,-0.0094099995,0.00387,36.82,1732000000.0,307000000.0,-75000000.0,0.06515,EUR,,,,,,,,E024,Vivendi,VIV,France,Media,Communication Services,Paris
ERICb.ST,,,,,,,,,,,,,,,,,,,,,,,E025,Ericsson,ERICb,Sweden,Telecommunications,Communication Services,Stockholm
NOVO B.CO,,,,,,,,,,,,,,,,,,,,,,,E026,Novo Nordisk,NOVO B,Denmark,Health Care,Health Care,Bagsværd
CTEC.L,,Convatec Group PLC,United Kingdom,Healthcare,Medical Instruments & Supplies,3850275328.0,32.833336,0.07024,0.109139994,100.0,1518000000.0,2439000064.0,587000000.0,0.07175,GBp,,,,,,,,E027,ConvaTec,CTEC,United Kingdom,Health Care,Health Care,Reading
ALC.SW,,Alcon Inc.,Switzerland,Healthcare,Medical Instruments & Supplies,25984655360.0,40.363632,0.02469,0.037100002,23.774,5262000128.0,10634000384.0,2264999936.0,0.077020004,CHF,,,,,,,,E028,Alcon,ALC,Switzerland,Health Care,Health Care,Fribourg
QIA.AS,,,,,,,,,,,,,,,,,,,,,,,E029,Qiagen,QIA,Netherlands,Health Care,Health Care,Venlo
LONN.SW,,Lonza Group AG,Switzerland,Healthcare,Diagnostics & Research,34419236864.0,37.87855,0.04639,0.10476,58.737,4679000064.0,6530999808.0,2136999936.0,-0.04211,CHF,,,,,,,,E030,Lonza Group,LONN,Switzerland,Health Care,Health Care,Basel
LXS.DE,,LANXESS Aktiengesellschaft,Germany,Basic Materials,Specialty Chemicals,1453208320.0,,-0.010930001,-0.16790001,71.698,2508000000.0,5449999872.0,301000000.0,-0.12128,EUR,,,,,,,,E031,Lanxess,LXS,Germany,Chemicals,Basic Materials,Essen
EDV.L,,Endeavour Mining plc,United Kingdom,Basic Materials,Gold,10352069632.0,16.555986,0.19808,0.31136,20.108,765100032.0,4541100032.0,2730200064.0,0.18936001,GBp,,,,,,,,E032,Endeavour Mining,EDV,United Kingdom,Basic Resources,Basic Materials,London
CRDA.L,,Croda International Plc,United Kingdom,Basic Materials,Specialty Chemicals,4168082432.0,67.97727,0.02101,0.02876,31.633,696600000.0,1699399936.0,234500000.0,0.03648,GBp,,,,,,,,E033,Croda International,CRDA,United Kingdom,Chemicals,Basic Materials,Snaith
SY1.DE,,Symrise AG,Germany,Basic Materials,Specialty Chemicals,11181763584.0,44.94382,0.04695,0.06534,70.286,2630163968.0,4929283072.0,735827968.0,0.050580002,EUR,,,,,,,,E034,Symrise,SY1,Germany,Chemicals,Basic Materials,Holzminden
ADH.OL,,,,,,,,,,,,,,,,,,,,,,,E035,Adevinta,ADH,Norway,Consumer Products and Services,Consumer Products and Services,Oslo
BOSS.DE,,Hugo Boss AG,Germany,Consumer Cyclical,Apparel Manufacturing,2465947648.0,10.697605,0.067379996,0.15669,73.195,1166000000.0,4175837952.0,508508992.0,0.055430003,EUR,,,,,,,,E036,Hugo Boss,BOSS,Germany,Consumer Products and Services,Consumer Products and Services,Metzingen
CFR.SW,,Compagnie Financière Richemont SA,Switzerland,Consumer Cyclical,Luxury Goods,91571699712.0,29.003725,0.069520004,0.14961,55.981,13514999808.0,22420000768.0,5359000064.0,0.1554,CHF,,,,,,,,E037,Richemont,CFR,Switzerland,Consumer Products and Services,Consumer Products and Services,Bellevue
ENEL.MI,,Enel SpA,Italy,Utilities,Utilities - Diversified,96235806720.0,25.521053,0.04715,0.10637999,139.941,70528999424.0,77908000768.0,20298999808.0,0.052360002,EUR,,,,,,,,E038,Enel,ENEL,Italy,Utilities,Utilities,Rome
ANE.MC,,"Corporación Acciona Energías Renovables, S.A.",Spain,Utilities,Utilities - Renewable,7673488384.0,11.83,0.0396,0.11143,82.824,5120999936.0,4104999936.0,1480999936.0,0.15956001,EUR,,,,,,,,E039,Acciona Energía,ANE,Spain,Utilities,Utilities,Madrid
ENGIE.PA,,,,,,,,,,,,,,,,,,,,,,,E040,Engie,ENGIE,France,Utilities,Utilities,Courbevoie
BBY.L,,Balfour Beatty plc,United Kingdom,Industrials,Engineering & Construction,3804911360.0,15.288462,0.01631,0.23138,88.802,1023000000.0,9489000448.0,195000000.0,0.02772,GBp,,,,,,,,E041,Balfour Beatty,BBY,United Kingdom,Construction and Materials,Construction and Materials,London
SKA B.ST,,,,,,,,,,,,,,,,,,,,,,,E042,Skanska,SKA B,Sweden,Construction and Materials,Construction and Materials,Stockholm
DG.PA,,Vinci SA,France,Industrials,Engineering & Construction,67046236160.0,14.069365,0.04315,0.15433,118.763,40768999424.0,75702001664.0,12375000064.0,0.064770006,EUR,,,,,,,,E043,Vinci,DG,France,Construction and Materials,Construction and Materials,Rueil-Malmaison
DHER.DE,,Delivery Hero SE,Germany,Consumer Cyclical,Internet Retail,10202934272.0,,0.00518,-0.30992,257.86,4625500160.0,14059599872.0,304900000.0,-0.05568,EUR,,,,,,,,E044,Delivery Hero,DHER,Germany,Retail,Consumer Discretionary,Berlin
TPK.L,,Travis Perkins plc,United Kingdom,Industrials,Industrial Distribution,1146055552.0,,0.01991,-0.09402,58.999,1048000000.0,4564599808.0,198700000.0,-0.03862,GBp,,,,,,,,E045,Travis Perkins,TPK,United Kingdom,Retail,Consumer Discretionary,Northampton
HMB.ST,,,,,,,,,,,,,,,9.2,,,,,,,,E046,H&M,HMB,Sweden,Retail,Consumer Discretionary,Stockholm
LUMI.PA,,,,,,,,,,,,,,,,,,,,,,,E047,Lumibird,LUMI,France,Technology,Technology,Lannion
TOM.AS,,,,,,,,,,,,,,,,,,,,,,,E048,TomTom,TOM,Netherlands,Technology,Technology,Amsterdam
STMPA.AS,,,,,,,,,,,,,,,,,,,,,,,E049,STMicroelectronics,STMPA,Netherlands,Technology,Technology,Geneva
