id_empresa,nombre,ticker,ticker_yf,ISIN,pais,sector_ICB,supersector,año,capitalización,moneda,ingresos,ebitda,net_income,total_assets,equity,deuda,ROA,ROE,margen_beneficio,deuda_equity,sector_yf,industria_yf,pais_yf,nota,error_yf,fuente_ebitda
E006,HSBC,HSBA,HSBA.L,GB0005405286,United Kingdom,Banks,Financials,2022,238565818368.0,GBp,53719000000.0,20908000000.0,15559000000.0,2949286000000.0,177833000000.0,204239000000.0,0.0052755141413887,0.0874921977360782,0.289636813790279,1.148487626031164,Financial Services,Banks - Diversified,United Kingdom,,,pretax+da
E006,HSBC,HSBA,HSBA.L,GB0005405286,United Kingdom,Banks,Financials,2023,238565818368.0,GBp,64528000000.0,33814000000.0,23533000000.0,3038677000000.0,185329000000.0,235159000000.0,0.0077444888021991,0.1269795876522292,0.3646943962310934,1.2688731930782555,Financial Services,Banks - Diversified,United Kingdom,,,pretax+da
E006,HSBC,HSBA,HSBA.L,GB0005405286,United Kingdom,Banks,Financials,2024,238565818368.0,GBp,67396000000.0,36389000000.0,23979000000.0,3017048000000.0,184973000000.0,242347000000.0,0.0079478351023914,0.1296351359387586,0.3557926286426494,1.3101749985132964,Financial Services,Banks - Diversified,United Kingdom,,,pretax+da
E007,Skandinaviska Enskilda Banken,SEB,SEB-A.ST,SE0000148884,Sweden,Banks,Financials,2022,364602458112.0,SEK,64466000000.0,35625000000.0,26877000000.0,3532779000000.0,204141000000.0,830984000000.0,0.0076078916909322,0.1316590003967845,0.416917444854652,4.070637451565339,Financial Services,Banks - Regional,Sweden,,,pretax+da
E007,Skandinaviska Enskilda Banken,SEB,SEB-A.ST,SE0000148884,Sweden,Banks,Financials,2023,364602458112.0,SEK,79960000000.0,49926000000.0,38116000000.0,3608218000000.0,221775000000.0,904977000000.0,0.0105636632819857,0.171867884116785,0.476688344172086,4.080608725059181,Financial Services,Banks - Regional,Sweden,,,pretax+da
E007,Skandinaviska Enskilda Banken,SEB,SEB-A.ST,SE0000148884,Sweden,Banks,Financials,2024,364602458112.0,SEK,81611000000.0,48213000000.0,35865000000.0,3758358000000.0,231148000000.0,953911000000.0,0.0095427311607888,0.1551603301780677,0.4394628175123451,4.126840811947324,Financial Services,Banks - Regional,Sweden,,,pretax+da
E008,Raiffeisen Bank International,RBI,RBI.VI,AT0000606306,Austria,Banks,Financials,2022,15628869632.0,EUR,9608000000.0,4752000000.0,3627000000.0,207057000000.0,17638000000.0,15399000000.0,0.0175169156319274,0.2056355595872548,0.3774979184013322,0.8730581698605284,Financial Services,Banks - Regional,Austria,,,pretax+da
E008,Raiffeisen Bank International,RBI,RBI.VI,AT0000606306,Austria,Banks,Financials,2023,15628869632.0,EUR,8821000000.0,3912000000.0,2386000000.0,198241000000.0,18620000000.0,18818000000.0,0.0120358553477837,0.128141783029001,0.2704908740505611,1.0106337271750805,Financial Services,Banks - Regional,Austria,,,pretax+da
E008,Raiffeisen Bank International,RBI,RBI.VI,AT0000606306,Austria,Banks,Financials,2024,15628869632.0,EUR,8886000000.0,3456000000.0,1157000000.0,199851000000.0,19081000000.0,22068000000.0,0.0057893130382134,0.0606362349981657,0.1302048165653837,1.1565431581154026,Financial Services,Banks - Regional,Austria,,,pretax+da
E009,UPM-Kymmene,UPM,UPM.HE,FI0009005987,Finland,Basic Resources,Basic Materials,2022,13230560256.0,EUR,11720000000.0,2529000000.0,1526000000.0,22207000000.0,12502000000.0,4874000000.0,0.0687170711937677,0.122060470324748,0.1302047781569965,0.3898576227803551,Basic Materials,Paper & Paper Products,Finland,,,direct
