id_empresa,empresa,ticker,pais,año,tipo_informe,url_fuente,fecha_descarga,n_paginas,idioma,estado,notas
E010,Boliden AB,BOL,Sweden,2022,integrated,https://investors.boliden.com/sites/boliden-ir/files/pr/202303076693-1.pdf,2026-05-26,94.0,,descargado,descarga directa bloqueada — descargar manualmente
E010,Boliden AB,BOL,Sweden,2023,integrated,https://investors.boliden.com/sites/boliden-ir/files/pr/202403050637-1.pdf,2026-05-26,110.0,,descargado,no encontrado automáticamente
E010,Boliden AB,BOL,Sweden,2024,integrated,https://investors.boliden.com/sites/boliden-ir/files/pr/202503192744-1.pdf,2026-05-26,268.0,,descargado,no encontrado automáticamente
E011,Acerinox,ACX,Spain,2022,integrated,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2022-Consolidated-Annual-Accounts-and-Integrated-Annual-Report.pdf,2026-05-26,148.0,,descargado,no encontrado automáticamente
E011,Acerinox,ACX,Spain,2023,integrated,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2023-Acerinox-Group-Integrated-Annual-Report.pdf,2026-05-26,188.0,,descargado,no encontrado automáticamente | REEMPLAZAR por informe anual integrado completo: descarga parcial 148pp sin financieros
E011,Acerinox,ACX,Spain,2024,integrated,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2024-Acerinox-Group-Consolidated-Management-Report.pdf,2026-05-26,80.0,,descargado,no encontrado automáticamente
E012,Voestalpine,VOE,Austria,2022,integrated,https://www.voestalpine.com/group/static/sites/group/.downloads/en/publications-2022-23/2022-23-annual-report.pdf,2026-05-26,58.0,,descargado,no encontrado automáticamente
E012,Voestalpine,VOE,Austria,2023,integrated,https://www.voestalpine.com/group/static/sites/group/.downloads/en/publications-2023-24/2023-24-annual-report.pdf,2026-05-26,59.0,,descargado,no encontrado automáticamente
E012,Voestalpine,VOE,Austria,2024,integrated,https://www.voestalpine.com/group/static/sites/group/.downloads/en/publications-2024-25/2024-25-annual-report.pdf,2026-05-26,70.0,,descargado,no encontrado automáticamente
E013,Covestro,1COV,Germany,2022,integrated,https://report.covestro.com/annual-report-2022/_assets/downloads/covestro-ar22-entire.pdf,2026-05-26,283.0,,descargado,no encontrado automáticamente
E013,Covestro,1COV,Germany,2023,integrated,https://report.covestro.com/annual-report-2023/_assets/downloads/covestro-ar23-entire.pdf,2026-05-26,358.0,,descargado,no encontrado automáticamente
E013,Covestro,1COV,Germany,2024,integrated,https://annualreport.covestro.com/ecomaXL/files/Covestro_2024_GB_EN.pdf,2026-05-27,917.0,,descargado,no encontrado automáticamente
E014,Symrise,SY1,Germany,2022,integrated,https://symrise.com/corporatereport/2022/downloads/SYM_financialreport_2022_EN.pdf,2026-05-26,48.0,,descargado,no encontrado automáticamente
E014,Symrise,SY1,Germany,2023,integrated,https://symrise.com/corporatereport/2023/downloads/SYM_corporatereport_2023_EN.pdf,2026-05-26,139.0,,descargado,no encontrado automáticamente
E014,Symrise,SY1,Germany,2024,integrated,https://symrise.com/corporatereport/2024/home/Symrise_Unternehmensbericht_24_EN_interaktiv_geschuetzt.pdf,2026-05-26,190.0,,descargado,no encontrado automáticamente
E015,Yara International,YAR,Norway,2022,integrated,https://www.yara.com/siteassets/investors/057-reports-and-presentations/annual-reports/2022/yara-integrated-report-2022.pdf,2026-05-26,170.0,,descargado,no encontrado automáticamente
E015,Yara International,YAR,Norway,2023,integrated,https://www.yara.com/siteassets/investors/057-reports-and-presentations/annual-reports/2023/yara-integrated-report-2023.pdf,2026-05-26,157.0,,descargado,no encontrado automáticamente
E015,Yara International,YAR,Norway,2024,integrated,https://www.yara.com/siteassets/investors/057-reports-and-presentations/annual-reports/2024/yara-integrated-report-2024.pdf,2026-05-26,92.0,,descargado,no encontrado automáticamente
E016,Balfour Beatty,BBY,United Kingdom,2022,integrated,https://www.balfourbeatty.com/media/0yjl3b0l/balfour-beatty-plc-annual-report-and-accounts-2022.pdf,2026-05-27,137.0,,descargado,no encontrado automáticamente
E016,Balfour Beatty,BBY,United Kingdom,2023,integrated,https://www.balfourbeatty.com/media/eo0p0h1j/balfour-beatty-annual-report-and-accounts-2023.pdf,2026-05-27,151.0,,descargado,no encontrado automáticamente
E016,Balfour Beatty,BBY,United Kingdom,2024,integrated,https://www.balfourbeatty.com/media/yx0pn423/balfour-beatty-annual-report-and-accounts-2024.pdf,2026-05-27,332.0,,descargado,no encontrado automáticamente
E017,Skanska,SKA B,Sweden,2022,integrated,https://group.skanska.com/493785/siteassets/investors/reports-publications/annual-reports/2022/annual-and-sustainability-report-2022.pdf,2026-05-26,198.0,,descargado,no encontrado automáticamente
E017,Skanska,SKA B,Sweden,2023,integrated,https://group.skanska.com/493370/siteassets/investors/reports-publications/annual-reports/2023/annual-and-sustainability-report-2023.pdf,2026-05-26,246.0,,descargado,no encontrado automáticamente
E017,Skanska,SKA B,Sweden,2024,integrated,https://group.skanska.com/49490b/siteassets/investors/reports-publications/annual-reports/2024/annual-and-sustainability-report-2024.pdf,2026-05-26,186.0,,descargado,no encontrado automáticamente
E018,Vinci,DG,France,2022,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/v/vinci_2022.pdf,2026-06-12,219.0,,descargado,no encontrado automáticamente
E018,Vinci,DG,France,2023,integrated,https://www.annualreports.com/HostedData/AnnualReportArchive/v/vinci_2023.pdf,2026-06-12,239.0,,descargado,no encontrado automáticamente
E018,Vinci,DG,France,2024,integrated,https://www.vinci.com/publi/vinci/vinci-document-enregistrement-universel-2024.pdf,2026-06-12,174.0,,descargado,no encontrado automáticamente
E019,Bouygues,EN,France,2022,integrated,https://www.bnains.org/archives/communiques/Bouygues/20230322_Document_d_enregistrement_universel_2022_Bouygues.pdf,2026-06-12,448.0,,descargado,PDF verificado en data/raw/ — tracking corregido (constaba como problema pese a tener el PDF descargado)
E019,Bouygues,EN,France,2023,integrated,https://www.bnains.org/archives/communiques/Bouygues/20240322_Document_d_enregistrement_universel_2023_Bouygues.pdf,2026-06-12,476.0,,descargado,PDF verificado en data/raw/ — tracking corregido (constaba como problema pese a tener el PDF descargado)
E019,Bouygues,EN,France,2024,integrated,https://www.bnains.org/archives/communiques/Bouygues/20250325_Document_d_enregistrement_universel_2024_Bouygues.pdf,2026-06-12,640.0,,descargado,PDF verificado en data/raw/ — tracking corregido (constaba como problema pese a tener el PDF descargado)
E020,Eiffage,EFGI,France,2022,integrated,https://www.eiffage.com/files/live/sites/eiffagev2/files/Finance/Rapport%20Annuel/DEU2022.pdf,2026-05-27,61.0,,descargado,no encontrado automáticamente
E020,Eiffage,EFGI,France,2023,,,,400.0,,descargado,reconciliado
E020,Eiffage,EFGI,France,2024,,,,424.0,,descargado,reconciliado
E021,Brunello Cucinelli,BRNW,Italy,2022,integrated,https://investor.brunellocucinelli.com/yep-content/media/CUCINELLI_CONSOLIDATO_ENG_2022_WEB.pdf,2026-05-27,69.0,,descargado,no encontrado automáticamente
E021,Brunello Cucinelli,BRNW,Italy,2023,integrated,https://investor.brunellocucinelli.com/yep-content/media/Consolidated_Financial_Statements_at_31st_December_2023.pdf,2026-05-27,183.0,,descargado,no encontrado automáticamente
E021,Brunello Cucinelli,BRNW,Italy,2024,integrated,https://investor.brunellocucinelli.com/yep-content/media/Consolidated_Financial_Statements_2024_including_Consolidated_Sustainability_Report.pdf,2026-05-27,148.0,,descargado,no encontrado automáticamente
E022,Hugo Boss,BOSS,Germany,2022,integrated,https://annualreport.hugoboss.com/2022/_assets/downloads/entire-hb-ar22.pdf,2026-05-27,153.0,,descargado,no encontrado automáticamente
E022,Hugo Boss,BOSS,Germany,2023,integrated,https://annualreport.hugoboss.com/2023/_assets/downloads/entire-hb-ar23.pdf,2026-05-27,310.0,,descargado,no encontrado automáticamente
E022,Hugo Boss,BOSS,Germany,2024,integrated,https://annualreport.hugoboss.com/2024/_assets/downloads/entire-hb-ar24.pdf,2026-05-27,222.0,,descargado,no encontrado automáticamente
E023,Richemont,CFR,Switzerland,2022,,,,164.0,,descargado,reconciliado
E023,Richemont,CFR,Switzerland,2023,,,,160.0,,descargado,reconciliado
E023,Richemont,CFR,Switzerland,2024,,,,164.0,,descargado,reconciliado
E024,Kering,KER,France,2022,,,,454.0,,descargado,reconciliado
E024,Kering,KER,France,2023,,,,448.0,,descargado,reconciliado
E024,Kering,KER,France,2024,,,,445.0,,descargado,reconciliado
E025,Adidas,ADS,Germany,2022,integrated,https://report.adidas-group.com/2022/en/_assets/downloads/annual-report-adidas-ar22.pdf,2026-05-26,153.0,,descargado,descarga directa bloqueada — descargar manualmente
E025,Adidas,ADS,Germany,2023,integrated,https://adidas.online-report.eu/2023/en/_assets/downloads/our-company-adidas-ar23.pdf,2026-05-26,321.0,,descargado,reemplazado por informe anual completo EN
E025,Adidas,ADS,Germany,2024,integrated,https://report.adidas-group.com/2024/en/_assets/downloads/annual-report-adidas-ar24.pdf,2026-05-26,465.0,,descargado,descarga directa bloqueada — descargar manualmente
