ticker_wiki,nombre,sector_icb,pais,sede
TEF,Telefónica,Telecommunications,Spain,Madrid
TEP,Teleperformance,Industrial Goods and Services,France,Paris
TPG,Telecom Plus,Telecommunications,United Kingdom,London
TGS,TGS,Energy,Norway,Oslo
THL,Thales,Industrial Goods and Services,France,Paris
TOM,Tomra,Industrial Goods and Services,Norway,Asker
TPK,Travis Perkins,Retail,United Kingdom,Northampton
TREL B,Trelleborg,Industrial Goods and Services,Sweden,Trelleborg
8TRA,Traton,Industrial Goods and Services,Germany,Munich
UBI,Ubisoft,Consumer Products and Services,France,Montreuil
URW,Unibail-Rodamco-Westfield,Real Estate,France,Paris
UN01,Uniper,Utilities,Germany,Düsseldorf
UPM,UPM-Kymmene,Basic Resources,Finland,Helsinki
FR,Valeo,Automobiles and Parts,France,Paris
VK,Vallourec,Basic Resources,France,Meudon
VAR1,Varta,Industrial Goods and Services,Germany,Ellwangen
VIE,Veolia,Utilities,France,Aubervilliers
VER,Verbund,Utilities,Austria,Vienna
VPLAY B,Viaplay,Media,Sweden,Stockholm
VCT,Vicat,Construction and Materials,France,L'Isle-d'Abeau
VIG,Vienna Insurance Group,Insurance,Austria,Vienna
SGEF,Vinci SA,Construction and Materials,France,Rueil-Malmaison
VITR,Vitrolife,Health Care,Sweden,Gothenburg
VOE,Voestalpine,Basic Resources,Austria,Linz
VPK,Vopak,Industrial Goods and Services,Netherlands,Rotterdam
WDP,Warehouses De Pauw,Real Estate,Belgium,Wolvertem
WEIR,Weir Group,Industrial Goods and Services,United Kingdom,Glasgow
WEND,Wendel,Financial Services,France,Paris
WIE,Wienerberger,Construction and Materials,Austria,Vienna
WIHL,Wihlborgs Fastigheter,Real Estate,Sweden,Malmö
WISE,Wise,Financial Services,United Kingdom,London
WLN,Worldline,Industrial Goods and Services,France,Bezons
YAR,Yara International,Chemicals,Norway,Oslo
ZAL,Zalando,Retail,Germany,Berlin
ANA,Acciona,Construction and Materials,Spain,Alcobendas
ANE,Acciona Energía,Utilities,Spain,Madrid
ACX,Acerinox,Basic Resources,Spain,Madrid
ACS,ACS,Construction and Materials,Spain,Madrid
ADH,Adevinta,Consumer Products and Services,Norway,Oslo
AF,Air France-KLM,Travel and Leisure,France,Tremblay-en-France
AKZA,AkzoNobel,Chemicals,Netherlands,Amsterdam
ALLFG,Allfunds Group,Financial Services,Spain,Madrid
