variable,n_grupos,n_obs,H,p_valor,eta2
GW_index,17,577,85.25624263404325,1.853293997792347e-11,0.1480143101285473
finbert_tone,17,586,62.13199439641013,2.2798878679607837e-07,0.1062085374297609
climate_specificity_spec,17,577,44.50830573206785,0.00016504179955561792,0.07727136411817336
