variable,n_grupos,n_obs,H,p_valor,eta2
GW_index,11,577,57.38827046700703,1.1268053606384788e-08,0.09963241400522055
finbert_tone,11,586,36.447997534559086,7.048309983114373e-05,0.06230426928984459
climate_specificity_spec,11,577,66.29397134265206,2.2906776206551382e-10,0.11509370024765982
