doc_id,empresa,año,confianza,ratio_cuantitativo,ratio_futuro,ratio_futuro_sin_cifra,lm_uncertainty,lm_weak_modal,climate_specificity_spec,finbert_tone,climate_sentiment_opportunity,climate_sentiment_risk,climate_commitment_yes,hedging_ratio,z_hedging,z_futuro_sin_cifra,z_cuantitativo,z_specificity,GW_index
E001_STLAM_2022,Stellantis,2022,alta,0.26259541984732826,0.22290076335877862,0.17709923664122137,0.0041726627,0.0011082283,0.2484076433121019,0.2091603053435114,0.2707006369426751,0.054140127388535,0.3280254777070063,0.005280891,-0.7056724821539789,1.1128000239523381,-0.4633282238367555,-0.07442276396626946,0.9448785296013841
E001_STLAM_2023,Stellantis,2023,alta,0.2802275960170697,0.2532005689900427,0.18634423897581792,0.004943274,0.0013876364,0.2705882352941176,0.2204836415362731,0.3029411764705882,0.05,0.3529411764705882,0.0063309104000000005,-0.606409346811268,1.3046547042545027,-0.3138159384860967,0.09777854659464025,0.9142827493346911
E001_STLAM_2024,Stellantis,2024,alta,0.24072984108299,0.1877575044143614,0.13066509711595056,0.012673281,0.0028480312,0.208695652173913,0.1006474396703943,0.1565217391304348,0.1637681159420289,0.2826086956521739,0.0155213122,0.26240136061689323,0.14918674714555463,-0.6487377059165268,-0.3827308976952556,1.44305671137423
E002_MBG_2022,Mercedes-Benz Group,2022,alta,0.24585523655479175,0.15325515568135867,0.1196926809543065,0.011735901,0.0028101979,0.3537832310838446,0.0986655883542256,0.3251533742331288,0.1554192229038855,0.4089979550102249,0.0145460989,0.1702099879756719,-0.07851567180969089,-0.6052768430634173,0.7436714658961769,-0.0467003066667786
E002_MBG_2023,Mercedes-Benz Group,2023,alta,0.18761384335154827,0.16514875531268974,0.11839708561020036,0.01502733,0.0038156977,0.3009049773755656,0.0242865816636308,0.167420814479638,0.1447963800904977,0.2873303167420814,0.0188430277,0.5764183161574105,-0.1054022015852731,-1.0991355543191903,0.3331456965154067,1.237005972375921
E002_MBG_2024,Mercedes-Benz Group,2024,alta,0.19894651539708266,0.14910858995137763,0.10737439222042139,0.008584425,0.0018730175,0.2784810126582278,0.1239870340356564,0.2118143459915611,0.0987341772151898,0.2632911392405063,0.0104574425,-0.21630939785952402,-0.33414798658643147,-1.003040002621772,0.15905493665525158,0.29352768152056496
E003_CON_2022,Continental,2022,alta,0.30684931506849317,0.12876712328767123,0.08493150684931507,0.004844998,0.00047172589,0.2878787878787879,0.1232876712328767,0.1565656565656565,0.005050505050505,0.2626262626262626,0.00531672389,-0.7022850352079602,-0.7998885502008631,-0.08807669807560001,0.232015532596489,-1.6461124199297121
E003_CON_2023,Continental,2023,alta,0.42637091805298827,0.08502772643253234,0.05545286506469501,0.0127942795,0.0033436357,0.2950191570881226,0.0326555760936537,0.1302681992337164,0.0881226053639846,0.2068965517241379,0.0161379152,0.32069166176915903,-1.4116369511900044,0.9254084122678741,0.2874505244458122,-2.3038042261345315
E003_CON_2024,Continental,2024,alta,0.22805100182149363,0.1052823315118397,0.07832422586520947,0.008732491,0.0014963354,0.2100591715976331,0.0207650273224043,0.0660749506903353,0.1380670611439842,0.1183431952662721,0.0102288264,-0.2379215231934205,-0.937004554609906,-0.7562481014191018,-0.3721450742000921,-0.046532902184132474
E004_FR_2022,Valeo,2022,alta,0.4104074619538537,0.17034855179185077,0.09572901325478646,0.007244491,0.0014856927,0.3658536585365853,0.1890034364261168,0.148664343786295,0.1312427409988385,0.3321718931475029,0.0087301837,-0.37959507052070385,-0.5758159037581306,0.7900460621813095,0.8373814727380886,-2.5828385091982327
E004_FR_2023,Valeo,2023,alta,0.41107300342969133,0.1773640372366487,0.096031357177854,0.007274473,0.0015774766,0.3647450110864745,0.1783439490445859,0.171840354767184,0.1219512195121951,0.3614190687361419,0.0088519496,-0.368083983190482,-0.5695415844446184,0.7956895304685024,0.82877437406309,-2.5620894721666927
E004_FR_2024,Valeo,2024,alta,0.3964329144710174,0.19983785974868262,0.11593027969193352,0.008986227,0.0019390418,0.2189905902480752,0.1159302796919335,0.1112061591103507,0.1633875106928999,0.2557741659538067,0.010925268799999999,-0.17208363847471697,-0.1565939962098686,0.6715486906268154,-0.302805085527954,-0.697421239783447
E005_CABK_2022,CaixaBank,2022,densidad,0.4411764705882353,0.25,0.12867647058823528,0.00567434,0.00086049584,0.4105960264900662,0.0698529411764705,0.1655629139072847,0.0728476821192053,0.3973509933774834,0.00653483584,-0.5871313424710227,0.10791825494761631,1.0509523028298795,1.1847434550257991,-2.7149088453790853
E005_CABK_2023,CaixaBank,2023,media,0.35135135135135137,0.16216216216216217,0.05405405405405406,0.00710959,0.002373341,0.0,0.0,0.0,0.0,0.25,0.009482931,-0.30843442613759986,-1.4406654391813358,0.2892789433015718,-2.002961090011599,-0.03541771860890863
E005_CABK_2024,CaixaBank,2024,alta,0.23267001968073475,0.1694729936584299,0.1305488738246228,0.012112649,0.0019420211,0.1703296703296703,0.1239886289088126,0.1401098901098901,0.2293956043956043,0.2802197802197802,0.0140546701,0.12375297633788115,0.14677485133478663,-0.717081074640196,-0.680589149625206,1.6681980519380697
E006_HSBA_2022,HSBC,2022,alta,0.26014319809069214,0.28758949880668255,0.22673031026252982,0.011610354,0.0013328524,0.2857142857142857,0.2762529832935561,0.188034188034188,0.1929181929181929,0.336996336996337,0.0129432064,0.018681230347654617,2.1427569042266006,-0.48412187264628015,0.21521119708815722,2.430348810132378
E006_HSBA_2023,HSBC,2023,densidad,0.23879231473010065,0.312900274473925,0.25343092406221407,0.018022807,0.0018511952,0.2985257985257985,0.2726440988106129,0.1498771498771498,0.1953316953316953,0.3255528255528255,0.019874002199999997,0.6738810500158356,2.6968549497446754,-0.6651669878247203,0.31467469644828155,3.72122829113695
E006_HSBA_2024,HSBC,2024,alta,0.27884615384615385,0.22263313609467456,0.16789940828402367,0.010274418,0.0018554261,0.3648424543946932,0.2707100591715976,0.1907131011608623,0.12106135986733,0.3432835820895522,0.0121298441,-0.058209627161795806,0.9218828057165049,-0.32552989676697247,0.8295308852235792,0.35967219009810236
E007_SEB_2022,Skandinaviska Enskilda Banken,2022,alta,0.23803827751196172,0.25478468899521534,0.17942583732057416,0.016308447,0.0018253985,0.1693121693121693,0.1866028708133971,0.1552028218694885,0.2045855379188712,0.3033509700176366,0.0181338455,0.5093760798889743,1.1610822431852774,-0.6715608570010545,-0.6884886235821139,3.0305078036574202
E007_SEB_2023,Skandinaviska Enskilda Banken,2023,densidad,0.3168724279835391,0.2139917695473251,0.15390946502057612,0.012375023,0.0011669457,0.2495840266222961,0.1580246913580247,0.1630615640599001,0.1381031613976705,0.259567387687188,0.0135419687,0.07528496854812293,0.6315598836540647,-0.003085571408664306,-0.06528979096439155,0.7752202145752435
E007_SEB_2024,Skandinaviska Enskilda Banken,2024,densidad,0.31832395247029394,0.19824890556597874,0.1288305190744215,0.015107196,0.0020368425,0.2600243013365735,0.1063164477798624,0.1020656136087484,0.1543134872417983,0.198055893074119,0.0171440385,0.41580509805362675,0.1111151089881707,0.009222650853179203,0.015764357178823168,0.501933199009795
E008_RBI_2022,Raiffeisen Bank International,2022,densidad,0.4235294117647059,0.1411764705882353,0.11764705882352941,0.0033276684,0.0020034208,0.3333333333333333,0.1176470588235293,0.5,0.1666666666666666,0.5,0.0053310892,-0.700927016764901,-0.12096695150819402,0.9013138198075041,0.58490657827145,-2.308114366352049
E008_RBI_2023,Raiffeisen Bank International,2023,densidad_baja,0.12871287128712872,0.1485148514851485,0.12871287128712872,0.046423316,0.0013551556,0.0384615384615384,0.0495049504950495,0.0,0.6923076923076923,0.1153846153846153,0.0477784716,3.3118181421483563,0.10867365166859293,-1.5985871737874304,-1.7043609744404786,6.723439942044858
E008_RBI_2024,Raiffeisen Bank International,2024,alta,0.1292517006802721,0.14852607709750568,0.12131519274376418,0.014291143,0.001664431,0.0327868852459016,0.1213151927437641,0.1381733021077283,0.1826697892271662,0.1662763466042154,0.015955574,0.3034541143351286,-0.044844887380789,-1.5940181623842191,-1.7484167291968733,3.601044118535432
E009_UPM_2022,UPM-Kymmene,2022,densidad,0.1963470319634703,0.19360730593607306,0.13515981735159818,0.0055880276,0.0012068455,0.3924731182795699,0.2721461187214612,0.4068100358422939,0.078853046594982,0.478494623655914,0.0067948730999999995,-0.5625488312016808,0.2424623443437112,-1.0250823588884665,1.0440443903861845,-0.3390485183556875
E009_UPM_2023,UPM-Kymmene,2023,densidad,0.21182266009852216,0.17733990147783252,0.1294862772695285,0.0068176887,0.0020281605,0.3962264150943396,0.2681210415200563,0.421832884097035,0.0943396226415094,0.4663072776280323,0.0088458492,-0.3686606818979961,0.12472357270991263,-0.8938565528714384,1.0731834968154215,-0.4232640531320666
E009_UPM_2024,UPM-Kymmene,2024,densidad,0.25139664804469275,0.1931364724660814,0.13288108539505186,0.007926854,0.0013918364,0.3143884892086331,0.1101356743814844,0.1546762589928057,0.1244604316546762,0.3136690647482014,0.009318690400000001,-0.3239608410843789,0.1951735092309833,-0.5582883665448296,0.4378263294985287,-0.008325294807094652
E010_BOL_2022,Boliden AB,2022,alta,0.27371273712737126,0.15447154471544716,0.1111111111111111,0.005419783,0.0022968547,0.4894736842105263,0.1273712737127371,0.2473684210526315,0.0789473684210526,0.3368421052631579,0.0077166377,-0.47541020857821326,-0.2566026294079337,-0.36905877589645775,1.7971182755198256,-2.160072337609515
E010_BOL_2023,Boliden AB,2023,densidad,0.36363636363636365,0.18457300275482094,0.12121212121212122,0.006381888,0.0020078414,0.3055555555555556,0.140495867768595,0.2388888888888889,0.1055555555555555,0.1833333333333333,0.0083897294,-0.4117797723070783,-0.046983854471972314,0.39344987742853255,0.36925093924786284,-1.221464443455446
E010_BOL_2024,Boliden AB,2024,densidad,0.1890295358649789,0.17763713080168778,0.13670886075949368,0.013268723,0.0024986628,0.2102127659574468,0.10042194092827,0.1353191489361702,0.1846808510638297,0.1974468085106383,0.0157673858,0.28566382325431494,0.2746084939107935,-1.0871311697781563,-0.37095262856671446,2.018356115509979
E011_ACX_2022,Acerinox,2022,densidad,0.3872832369942196,0.20809248554913296,0.11560693641618497,0.0071938625,0.0010544271,0.3402777777777778,0.1676300578034682,0.2708333333333333,0.1458333333333333,0.2569444444444444,0.0082482896,-0.4251507233678358,-0.16330409952314165,0.5939638720197344,0.638820488027347,-1.8212391829380588
E011_ACX_2023,Acerinox,2023,aceptado_sin_financieros,0.3180428134556575,0.23853211009174313,0.12232415902140673,0.0073143705,0.0018653474,0.3292682926829268,0.2232415902140673,0.2804878048780488,0.0975609756097561,0.3963414634146341,0.0091797179,-0.3370985469938268,-0.02390655814874735,0.0068387286319583655,0.5533472164631199,-0.9211910502376525
E011_ACX_2024,Acerinox,2024,alta,0.315712187958884,0.24522760646108663,0.14537444933920704,0.0106840255,0.0016392452,0.2601431980906921,0.0910425844346549,0.1217183770883054,0.152744630071599,0.2410501193317422,0.0123232707,-0.039924126175166094,0.45443903006647207,-0.012923842985100749,0.016687424376364987,0.4107513225000417
E012_VOE_2022,Voestalpine,2022,densidad,0.27522935779816515,0.1743119266055046,0.09174311926605505,0.0048874295,0.002625046,0.6438356164383562,0.4220183486238532,0.589041095890411,0.0,0.4657534246575342,0.0075124755,-0.49471059492389946,-0.658532207037437,-0.35619856962823915,2.9955230363981262,-3.7925672687312235
E012_VOE_2023,Voestalpine,2023,densidad,0.2911392405063291,0.22784810126582278,0.14556962025316456,0.012438934,0.0021003813,0.4414414414414414,0.2784810126582278,0.4864864864864865,0.018018018018018,0.3693693693693693,0.014539315300000001,0.16956870324806522,0.45848926736727574,-0.22129049586246963,1.4242150112281142,-0.5748665447503036
E012_VOE_2024,Voestalpine,2024,densidad,0.3182917002417405,0.1845286059629331,0.11200644641418211,0.010563548,0.0013874284,0.1736770691994572,0.1248992747784045,0.1302578018995929,0.1709633649932157,0.1696065128900949,0.0119509764,-0.0751188087574305,-0.2380223995586541,0.008949167628405898,-0.6546012737013,0.3325108977568094
E013_1COV_2022,Covestro,2022,alta,0.2572490706319703,0.13977695167286244,0.10892193308550185,0.009697728,0.0022889907,0.3064008394543546,0.0999999999999999,0.2591815320041972,0.080797481636936,0.29800629590766,0.0119867187,-0.07173992569835592,-0.3020330181765825,-0.5086626670600842,0.37581338786452945,-0.24092366467938364
E013_1COV_2023,Covestro,2023,alta,0.2046285018270402,0.17600487210718635,0.1345919610231425,0.008167932,0.0018702669,0.2302716688227684,0.1193666260657734,0.1565329883570504,0.0815006468305304,0.2496765847347994,0.0100381989,-0.2559424124575071,0.23067804290057037,-0.9548595189255931,-0.21522327000752664,1.144818419376183
E013_1COV_2024,Covestro,2024,alta,0.24150743099787686,0.16507430997876857,0.11305732484076433,0.0106264595,0.0027487862,0.2311161217587373,0.0498938428874734,0.1228861330326944,0.173618940248027,0.2063134160090191,0.0133752457,0.05952388097798581,-0.21621429856836138,-0.6421441213174872,-0.20866727265638474,0.6941209763834963
E014_SY1_2022,Symrise,2022,densidad,0.22340425531914893,0.2127659574468085,0.20212765957446807,0.0039845193,0.0028458193,0.125,0.2553191489361702,0.0,0.0,0.125,0.0068303386,-0.5591961153123391,1.6321963319831208,-0.7956502536164574,-1.0325107144054557,2.901161184692695
E014_SY1_2023,Symrise,2023,densidad,0.35185185185185186,0.31851851851851853,0.14444444444444443,0.0017967094,0.00030386422,0.2434210526315789,0.3740740740740741,0.2434210526315789,0.0394736842105263,0.4276315789473684,0.00210057362,-1.0063224268347302,0.43513932788073806,0.29352294432155895,-0.11313667435753068,-0.7515693689180204
E014_SY1_2024,Symrise,2024,densidad,0.18085106382978725,0.1879432624113475,0.14479905437352245,0.010801924,0.0028091348,0.1807980049875311,0.1347517730496454,0.1932668329177057,0.2069825436408977,0.2793017456359102,0.013611058799999999,0.08181637163185766,0.4424982848731708,-1.1564806382094195,-0.5993171552196715,2.280112449934119
E015_YAR_2022,Yara International,2022,alta,0.2727272727272727,0.19786096256684493,0.0962566844919786,0.006067526,0.00097096333,0.2166666666666666,0.374331550802139,0.475,0.075,0.5083333333333333,0.00703848933,-0.5395186749872612,-0.5648655337255236,-0.37741503511097824,-0.32084710562761776,-0.4061220679741889
E015_YAR_2023,Yara International,2023,alta,0.27693718477762497,0.1879871618523613,0.14213663457129758,0.009022098,0.0017664401,0.2705366922234392,0.1104997707473636,0.1423877327491785,0.1708652792990142,0.2606790799561884,0.0107885381,-0.18500941677900684,0.3872470603197163,-0.34171702678154614,0.09737838665624232,0.4465762836660132
