doc_id,empresa,año,confianza,ratio_cuantitativo,ratio_futuro,ratio_futuro_sin_cifra,lm_uncertainty,lm_weak_modal,climate_specificity_spec,finbert_tone,climate_sentiment_opportunity,climate_sentiment_risk,climate_commitment_yes,hedging_ratio,z_hedging,z_futuro_sin_cifra,z_cuantitativo,z_specificity,GW_index,id_empresa,n_tokens,supersector,pais,capitalización,ROA,ROE,deuda_equity,total_assets,region,log_cap
E001_STLAM_2022,Stellantis,2022,alta,0.2625954198473282,0.2229007633587786,0.1770992366412213,0.0041726627,0.0011082283,0.2484076433121019,0.2091603053435114,0.2707006369426751,0.054140127388535,0.3280254777070063,0.005280891,-1.0019488492467048,1.136194117573299,-0.5357994503632502,-0.2220947541313667,0.8921394728212111,E001,11000,Consumer Discretionary,Netherlands,22730948608.0,0.0902415178667354,0.2333226850372921,0.3771302379199711,186156000000.0,Centro,23.846993207683987
E001_STLAM_2023,Stellantis,2023,alta,0.2802275960170697,0.2532005689900427,0.1863442389758179,0.004943274,0.0013876364,0.2705882352941176,0.2204836415362731,0.3029411764705882,0.05,0.3529411764705882,0.0063309104,-0.8358181448226765,1.3412510259019677,-0.3729118226561843,-0.0386283810772327,0.9169730848127082,E001,12148,Consumer Discretionary,Netherlands,22730948608.0,0.0920011082086598,0.2276327225098845,0.3606551356909405,202128000000.0,Centro,23.846993207683987
E001_STLAM_2024,Stellantis,2024,alta,0.24072984108299,0.1877575044143614,0.1306650971159505,0.012673281,0.0028480312,0.208695652173913,0.1006474396703943,0.1565217391304348,0.1637681159420289,0.2826086956521739,0.0155213122,0.6182577750830478,0.1062710578113469,-0.7377956316104163,-0.5505717842660389,2.0128962487708497,E001,31651,Consumer Discretionary,Netherlands,22730948608.0,0.0263623095560361,0.066995544239338,0.455699456495128,207607000000.0,Centro,23.846993207683987
E002_MBG_2022,Mercedes-Benz Group,2022,alta,0.2458552365547917,0.1532551556813586,0.1196926809543065,0.011735901,0.0028101979,0.3537832310838446,0.0986655883542256,0.3251533742331288,0.1554192229038855,0.4089979550102249,0.0145460989,0.4639626520665768,-0.1371004042576711,-0.6904467677251387,0.6495175505629599,0.3677914649710844,E002,36908,Consumer Discretionary,Germany,48680239104.0,0.0557698594311866,0.1697711174852192,0.9882807469414038,260015000000.0,Centro,24.60853901680388
E002_MBG_2023,Mercedes-Benz Group,2023,alta,0.1876138433515482,0.1651487553126897,0.1183970856102003,0.01502733,0.0038156977,0.3009049773755656,0.0242865816636308,0.167420814479638,0.1447963800904977,0.2873303167420814,0.0188430277,1.1438089562433322,-0.1658370952927002,-1.2284859911257675,0.2121360131738645,1.9943218389025352,E002,25052,Consumer Discretionary,Germany,48680239104.0,0.0542197991042574,0.1553942880803722,0.9584954180423436,263022000000.0,Centro,24.60853901680388
E002_MBG_2024,Mercedes-Benz Group,2024,alta,0.1989465153970826,0.1491085899513776,0.1073743922204213,0.008584425,0.0018730175,0.2784810126582278,0.1239870340356564,0.2118143459915611,0.0987341772151898,0.2632911392405063,0.0104574425,-0.1829314604420218,-0.4103237212727214,-1.1237937485285596,0.0266565868574,0.5038819799564165,E002,39521,Consumer Discretionary,Germany,48680239104.0,0.0385155277159352,0.1101970310391363,1.004502024291498,265010000000.0,Centro,24.60853901680388
E003_CON_2022,Continental,2022,alta,0.3068493150684931,0.1287671232876712,0.084931506849315,0.004844998,0.00047172589,0.2878787878787879,0.1232876712328767,0.1565656565656565,0.005050505050505,0.2626262626262626,0.00531672389,-0.9962794842261644,-0.9081136105139556,-0.1269779900977294,0.1043901178601868,-1.8818052225025776,E003,5764,Consumer Discretionary,Germany,13736411136.0,0.0017560188468809,0.0050229274767708,0.5787754917340413,37926700000.0,Centro,23.343315891369134
E003_CON_2023,Continental,2023,alta,0.4263709180529882,0.0850277264325323,0.055452865064695,0.0127942795,0.0033436357,0.2950191570881226,0.0326555760936537,0.1302681992337164,0.0881226053639846,0.2068965517241379,0.0161379152,0.7158147256879307,-1.561958674831756,0.9771733172888314,0.1634515550917193,-1.986768821524376,E003,21838,Consumer Discretionary,Germany,13736411136.0,0.0306200831721982,0.0845276396607195,0.5236911377595789,37753000000.0,Centro,23.343315891369134
E003_CON_2024,Continental,2024,alta,0.2280510018214936,0.1052823315118397,0.0783242258652094,0.008732491,0.0014963354,0.2100591715976331,0.0207650273224043,0.0660749506903353,0.1380670611439842,0.1183431952662721,0.0102288264,-0.2191023671278165,-1.054665072809354,-0.8549238879018027,-0.5392934575441182,0.1204499055087503,E003,40729,Consumer Discretionary,Germany,13736411136.0,0.0315966022831791,0.0813880565814229,0.4793394188558288,36966000000.0,Centro,23.343315891369134
E004_FR_2022,Valeo,2022,alta,0.4104074619538537,0.1703485517918507,0.0957290132547864,0.007244491,0.0014856927,0.3658536585365853,0.1890034364261168,0.148664343786295,0.1312427409988385,0.3321718931475029,0.0087301837,-0.4562128123547596,-0.6686216989890265,0.8297014755285268,0.7493578770863887,-2.703893863958702,E004,37882,Consumer Discretionary,France,3053803264.0,0.0104407826047482,0.0601779173207744,1.9209837781266352,22029000000.0,Centro,21.839653622545388
E004_FR_2023,Valeo,2023,alta,0.4110730034296913,0.1773640372366487,0.096031357177854,0.007274473,0.0015774766,0.3647450110864745,0.1783439490445859,0.171840354767184,0.1219512195121951,0.3614190687361419,0.0088519496,-0.4369474018853664,-0.6619156206266466,0.8358498074812152,0.7401877193722726,-2.6749005493655007,E004,36941,Consumer Discretionary,France,3053803264.0,0.0101581173009744,0.0618181818181818,1.9779020979020976,21756000000.0,Centro,21.839653622545388
E004_FR_2024,Valeo,2024,alta,0.3964329144710174,0.1998378597486826,0.1159302796919335,0.008986227,0.0019390418,0.2189905902480752,0.1159302796919335,0.1112061591103507,0.1633875106928999,0.2557741659538067,0.0109252687999999,-0.1089134825198172,-0.2205515860780327,0.7006033502690212,-0.4654173866370263,-0.5646510322298448,E004,50658,Consumer Discretionary,France,3053803264.0,0.0074799150429402,0.0435600968002151,1.8921753159451469,21658000000.0,Centro,21.839653622545388
E005_CABK_2022,CaixaBank,2022,densidad,0.4411764705882353,0.25,0.1286764705882352,0.00567434,0.00086049584,0.4105960264900662,0.0698529411764705,0.1655629139072847,0.0728476821192053,0.3973509933774834,0.00653483584,-0.8035537152348232,0.062162728485385,1.1139483418883096,1.1194435798004732,-2.974782908438221,E005,6886,Financials,Spain,80875036672.0,0.0052250146113383,0.0929175946547884,1.4874536005939123,598850000000.0,Sur,25.116171043207867
E005_CABK_2023,CaixaBank,2023,media,0.3513513513513513,0.1621621621621621,0.054054054054054,0.00710959,0.002373341,0.0,0.0,0.0,0.0,0.25,0.009482931,-0.3371155469115827,-1.5929847201259515,0.2841358195911879,-2.2767941685720965,0.0625580819433744,E005,946,Financials,Spain,80875036672.0,0.0079319198836563,0.1326465970749442,1.5031812047263613,607167000000.0,Sur,25.116171043207867
E005_CABK_2024,CaixaBank,2024,alta,0.2326700196807347,0.1694729936584299,0.1305488738246228,0.012112649,0.0019420211,0.1703296703296703,0.1239886289088126,0.1401098901098901,0.2293956043956043,0.2802197802197802,0.0140546701,0.3862103622343556,0.1036931905558387,-0.8122529858993877,-0.8679153224065527,2.1700718610961345,E005,69088,Financials,Spain,80875036672.0,0.009171113291062,0.1571230756699519,1.4775325133718875,631003000000.0,Sur,25.116171043207867
E006_HSBA_2022,HSBC,2022,alta,0.2601431980906921,0.2875894988066825,0.2267303102625298,0.011610354,0.0013328524,0.2857142857142857,0.2762529832935561,0.188034188034188,0.1929181929181929,0.336996336996337,0.0129432064,0.2103581375776144,2.237026128803092,-0.5584532952831747,0.0864864766088159,2.9193510850550655,E006,24188,Financials,United Kingdom,238565818368.0,0.0052755141413887,0.0874921977360782,1.148487626031164,2949286000000.0,UK_Irlanda,26.197911077202644
E006_HSBA_2023,HSBC,2023,densidad,0.2387923147301006,0.312900274473925,0.253430924062214,0.018022807,0.0018511952,0.2985257985257985,0.2726440988106129,0.1498771498771498,0.1953316953316953,0.3255528255528255,0.0198740021999999,1.3069264376233998,2.829253704100938,-0.7556946741451471,0.1924566775290904,4.699418138340394,E006,16479,Financials,United Kingdom,238565818368.0,0.0077444888021991,0.1269795876522292,1.2688731930782555,3038677000000.0,UK_Irlanda,26.197911077202644
E006_HSBA_2024,HSBC,2024,alta,0.2788461538461538,0.2226331360946745,0.1678994082840236,0.010274418,0.0018554261,0.3648424543946932,0.2707100591715976,0.1907131011608623,0.12106135986733,0.3432835820895522,0.0121298441,0.0816705610900297,0.9321391815326904,-0.3856737095536812,0.7409937199673774,0.6584897322090238,E006,19243,Financials,United Kingdom,238565818368.0,0.0079478351023914,0.1296351359387586,1.3101749985132964,3017048000000.0,UK_Irlanda,26.197911077202644
E007_SEB_2022,Skandinaviska Enskilda Banken,2022,alta,0.2380382775119617,0.2547846889952153,0.1794258373205741,0.016308447,0.0018253985,0.1693121693121693,0.1866028708133971,0.1552028218694885,0.2045855379188712,0.3033509700176366,0.0181338455,1.0316044213071374,1.1877988143550529,-0.7626605377165573,-0.8763315640204447,3.858395337399192,E007,11830,Financials,Sweden,364602458112.0,0.0076078916909322,0.1316590003967845,4.070637451565339,3532779000000.0,Nordicos,26.6220734411101
E007_SEB_2023,Skandinaviska Enskilda Banken,2023,densidad,0.3168724279835391,0.2139917695473251,0.1539094650205761,0.012375023,0.0011669457,0.2495840266222961,0.1580246913580247,0.1630615640599001,0.1381031613976705,0.259567387687188,0.0135419687,0.305092389803384,0.6218380686210481,-0.0343835724118592,-0.2123643204523315,1.173678351288623,E007,21598,Financials,Sweden,364602458112.0,0.0105636632819857,0.171867884116785,4.080608725059181,3608218000000.0,Nordicos,26.6220734411101
