id,empresa,año,confianza,E1,E2,E3,E4,E5,S1,S2,S3,S4,G1,ESRS2
E022_BOSS_2024,Hugo Boss,2024,alta,0.5952,0.4333,0.3793,0.4286,0.6207,0.75,0.4667,0.28,0.4231,0.5143,0.697
E023_CFR_2022,Richemont,2022,densidad_baja,0.2381,0.0,0.0345,0.0857,0.1724,0.2045,0.1333,0.16,0.0385,0.0286,0.2727
E023_CFR_2023,Richemont,2023,densidad_baja,0.2143,0.0,0.069,0.1429,0.1379,0.3182,0.1,0.16,0.1154,0.1429,0.2727
E023_CFR_2024,Richemont,2024,densidad_baja,0.0714,0.0,0.1379,0.2571,0.069,0.1364,0.1333,0.16,0.0,0.0286,0.1212
E024_KER_2022,Kering,2022,densidad,0.6905,0.1667,0.3103,0.6286,0.4483,0.7955,0.5,0.32,0.2308,0.5143,0.5758
E024_KER_2023,Kering,2023,densidad,0.3333,0.0667,0.2414,0.2286,0.2414,0.7727,0.5333,0.28,0.2692,0.5714,0.5455
E024_KER_2024,Kering,2024,densidad,0.6905,0.3,0.6897,0.7143,0.5862,0.7045,0.4333,0.32,0.2692,0.4,0.5758
E025_ADS_2022,Adidas,2022,densidad,0.4524,0.2,0.2759,0.2857,0.4138,0.5909,0.4333,0.2,0.1538,0.1429,0.4848
E025_ADS_2023,Adidas,2023,alta,0.5,0.1667,0.4138,0.2857,0.6207,0.6364,0.4667,0.24,0.1538,0.4,0.5152
E025_ADS_2024,Adidas,2024,alta,0.6429,0.4,0.6207,0.5429,0.7241,0.9318,0.6333,0.56,0.5769,0.6,0.6364
E026_REP_2022,Repsol,2022,alta,0.6429,0.2667,0.4828,0.2571,0.3448,0.6591,0.3,0.44,0.4231,0.4286,0.3939
E026_REP_2023,Repsol,2023,alta,0.6667,0.3,0.5862,0.3143,0.4483,0.6591,0.3333,0.48,0.3462,0.4571,0.5152
E026_REP_2024,Repsol,2024,alta,0.8333,0.5333,0.7241,0.6857,0.5862,0.7727,0.4667,0.48,0.5,0.6571,0.6061
E027_AKERBP_2022,Aker BP,2022,densidad,0.1429,0.0,0.069,0.0286,0.0345,0.25,0.1333,0.16,0.0385,0.2,0.2121
E027_AKERBP_2023,Aker BP,2023,densidad,0.7143,0.3667,0.3448,0.4857,0.5172,0.8636,0.6333,0.44,0.2308,0.5429,0.697
E027_AKERBP_2024,Aker BP,2024,densidad,0.6667,0.5,0.3103,0.4857,0.5862,0.75,0.4,0.28,0.1923,0.4571,0.5758
E028_NSN_2022,Neste,2022,alta,0.7143,0.3667,0.5517,0.5714,0.5172,0.7045,0.5667,0.36,0.2308,0.5143,0.6061
E028_NSN_2023,Neste,2023,alta,0.6905,0.4,0.5172,0.4571,0.5517,0.75,0.5667,0.4,0.2692,0.5143,0.5455
E028_NSN_2024,Neste,2024,alta,0.4524,0.1333,0.3103,0.3714,0.2414,0.4545,0.4,0.2,0.1154,0.2,0.1818
E029_TGS_2022,TGS,2022,densidad,0.381,0.2,0.1034,0.0857,0.1034,0.6591,0.3,0.2,0.1538,0.5143,0.4242
E029_TGS_2023,TGS,2023,densidad,0.4048,0.0667,0.1034,0.1714,0.2759,0.6818,0.3667,0.2,0.1154,0.5714,0.5152
E029_TGS_2024,TGS,2024,alta,0.7143,0.1,0.1034,0.2286,0.2759,0.7045,0.4667,0.32,0.2692,0.6286,0.5758
E030_VESTAS_2022,Vestas,2022,densidad,0.2857,0.0,0.0345,0.0286,0.069,0.2727,0.0333,0.0,0.1154,0.0571,0.2424
E030_VESTAS_2023,Vestas,2023,densidad,0.3095,0.0,0.0,0.0,0.1724,0.25,0.0667,0.12,0.0769,0.0286,0.2121
E030_VESTAS_2024,Vestas,2024,densidad,0.7619,0.2,0.5172,0.5143,0.5517,0.8182,0.7,0.64,0.1538,0.6286,0.7273
E031_LSEG_2022,London Stock Exchange Group,2022,alta,0.4286,0.0333,0.0345,0.0286,0.0345,0.2273,0.1,0.12,0.2308,0.3429,0.3636
E031_LSEG_2023,London Stock Exchange Group,2023,densidad,0.6667,0.0333,0.0,0.0286,0.0,0.4773,0.1333,0.08,0.1154,0.3429,0.4545
E031_LSEG_2024,London Stock Exchange Group,2024,densidad,0.7143,0.0333,0.0345,0.0571,0.0,0.4318,0.1667,0.12,0.0385,0.3429,0.4242
E032_ALLFG_2022,Allfunds Group,2022,densidad,0.2143,0.0333,0.069,0.0,0.069,0.5455,0.2333,0.24,0.2308,0.4857,0.303
E032_ALLFG_2023,Allfunds Group,2023,densidad,0.3333,0.0333,0.069,0.0,0.1034,0.4773,0.1667,0.24,0.1538,0.3714,0.2424
E032_ALLFG_2024,Allfunds Group,2024,alta,0.619,0.0333,0.069,0.0857,0.2414,0.4773,0.2333,0.16,0.2692,0.5429,0.5758
E033_WEND_2022,Wendel,2022,densidad,0.6905,0.2,0.2759,0.2286,0.5862,0.7955,0.5333,0.16,0.4231,0.6,0.4848
E033_WEND_2023,Wendel,2023,densidad,0.5476,0.1333,0.2759,0.1143,0.4138,0.75,0.4,0.12,0.3462,0.5714,0.5152
E033_WEND_2024,Wendel,2024,densidad,0.5952,0.3667,0.2069,0.1714,0.3103,0.4773,0.4,0.16,0.2308,0.4571,0.5758
E034_III_2022,3i,2022,alta,0.5,0.0333,0.0345,0.0,0.0345,0.4773,0.1333,0.2,0.1923,0.3714,0.2727
E034_III_2023,3i,2023,alta,0.6429,0.1,0.0345,0.0571,0.3448,0.4773,0.3,0.16,0.2692,0.3143,0.3636
E034_III_2024,3i,2024,alta,0.619,0.0333,0.069,0.0571,0.1724,0.6364,0.3333,0.2,0.1923,0.3143,0.3636
E035_EXO_2022,Exor,2022,alta,0.5714,0.0333,0.1379,0.1143,0.2759,0.5227,0.2,0.24,0.1923,0.5143,0.6061
E035_EXO_2023,Exor,2023,alta,0.4762,0.1,0.1379,0.1714,0.3103,0.5,0.2,0.24,0.1154,0.4571,0.4242
E035_EXO_2024,Exor,2024,alta,0.7381,0.3333,0.2414,0.2571,0.5862,0.6136,0.3333,0.16,0.3846,0.4571,0.6364
