variable,VIF
C(supersector)[T.Communication Services],1.8210157138978393
C(supersector)[T.Consumer Discretionary],2.6723460700462933
C(supersector)[T.Consumer Staples],1.7901786590144821
C(supersector)[T.Energy],1.5533698608214024
C(supersector)[T.Financials],2.6068845902433466
C(supersector)[T.Health Care],1.6703515440480183
C(supersector)[T.Industrials],1.9712878508468745
C(supersector)[T.Real Estate],1.5187180681168564
C(supersector)[T.Technology],1.5464789213418881
C(supersector)[T.Utilities],1.7007452570007067
C(año)[T.2023],1.3666064577368218
C(año)[T.2024],1.363141161781336
C(region)[T.Nordicos],1.4278179900901635
C(region)[T.Otros],1.115815760018973
C(region)[T.Sur],1.2857343721942265
C(region)[T.UK_Irlanda],1.170167276633395
log_cap,1.342798722659362
ROA,1.1221132752059302
deuda_equity,1.0625574196220526
