variable,n,media_2022,media_2024,diff_media,t,p_ttest,W,p_wilcoxon
GW_index,95,-0.19609853299500116,0.42366763313923794,0.6197661661342392,1.9437757980095702,0.05491316151149605,1656.0,0.02054733650701898
finbert_tone,95,0.20236928779141544,0.15670180689658753,-0.045667480894827917,-3.26400285777571,0.0015326155863958457,1300.0,0.00027516663116693797
climate_specificity_spec,95,0.280715893458471,0.26077946342715136,-0.019936430031319723,-1.263689091526399,0.20946663744861826,1777.0,0.08585852775786641
climate_sentiment_risk,95,0.10441435414844832,0.16413605562307065,0.059721701474622316,4.919570381530727,3.6822994319697774e-06,865.0,4.200948483954279e-07
climate_sentiment_opportunity,95,0.21527277038942289,0.16471177584355115,-0.0505609945458717,-3.2215324193912345,0.001752205812375041,1328.0,0.0006477014742469177
n_tokens,95,10947.263157894737,23380.052631578947,12432.78947368421,6.496854098886305,3.8759792712058274e-09,658.5,1.75730865527202e-09
